Time - Plot 0	Amplitude - Plot 0	
2400,04	0,236841	
2500,06	0,243534	
2500,06	0,243538	
2600,09	0,250343	
2700,11	0,257333	
2700,1	0,257378	
2799,94	0,264448	
2799,95	0,264531	
2899,97	0,271712	
3000	0,279129	
2999,99	0,279143	
3100,02	0,28669	
3100,02	0,286751	
3200,05	0,294366	
3300,07	0,302158	
3300,06	0,302164	
3400,09	0,310143	
3400,09	0,310162	
3499,94	0,31824	
3599,53	0,326175	
3599,95	0,326468	
3699,98	0,334847	
3699,98	0,334866	
3799,99	0,343287	
3800,01	0,343327	
3900,03	0,351974	
4000,06	0,36078	
4000,04	0,360785	
4100,07	0,369723	
4100,08	0,369713	
4200,09	0,37882	
4299,93	0,388072	
4299,93	0,388118	
4399,97	0,397417	
4399,96	0,397457	
4499,99	0,40705	
4600,01	0,416731	
4600,01	0,416737	
4700,04	0,426628	
4700,03	0,426598	
4800,06	0,436665	
4900,08	0,446903	
4900,08	0,446886	
5000,11	0,457273	
5000,11	0,457338	
5099,95	0,467846	
5199,97	0,478592	
5199,97	0,478667	
5300,01	0,489539	
5300	0,489563	
5400,03	0,500722	
5500,05	0,512081	
5500,05	0,512127	
5600,07	0,523622	
5600,06	0,523638	
5700,1	0,535413	
5800,13	0,54737	
5800,11	0,547457	
5899,97	0,559575	
5899,96	0,559596	
6000	0,571969	
6100,01	0,584593	
6100,01	0,584674	
6200,05	0,5975	
6200,04	0,597608	
6300,05	0,610714	
6400,08	0,624056	
6400,08	0,624117	
6500,12	0,637737	
6500,11	0,637795	
6599,95	0,651699	
6699,98	0,665851	
6699,97	0,665916	
6800	0,680301	
6799,99	0,680428	
6900,02	0,695092	
7000,04	0,710121	
7000,04	0,710166	
7100,06	0,725467	
7100,07	0,725591	
7200,1	0,741225	
7300,12	0,757101	
7300,11	0,757198	
7399,97	0,773361	
7399,96	0,77347	
7499,98	0,790094	
7600,01	0,80694	
7600,01	0,807066	
7700,04	0,824218	
7700,03	0,824417	
7800,05	0,842025	
7900,08	0,85986	
7900,09	0,860034	
8000,11	0,878291	
8000,12	0,878425	
8100,13	0,897004	
8199,96	0,916028	
8199,96	0,916183	
8299,99	0,935475	
8299,99	0,935625	
8400,01	0,955412	
8500,04	0,975451	
8500,04	0,975659	
8600,07	0,996037	
8600,07	0,996178	
8700,08	1,01707	
8800,12	1,03818	
8800,12	1,03841	
8900,14	1,05992	
8900,13	1,06009	
8999,98	1,08201	
9100	1,10424	
9099,99	1,10438	
9200,02	1,12686	
9200,01	1,12705	
9300,06	1,14994	
9400,09	1,17308	
9400,07	1,17325	
9500,1	1,1966	
9507,82	1,19698	
9600,12	1,22056	
9699,96	1,24436	
9699,97	1,24454	
9799,99	1,26857	
9799,98	1,26882	
9900,02	1,29305	
10000,1	1,31733	
10000,1	1,31754	
10100,1	1,34195	
10114,3	1,34154	
10200,1	1,36656	
10300,1	1,3908	
10300,1	1,391	
10400,1	1,41523	
10400,1	1,41541	
10500	1,43945	
10600	1,46325	
10600	1,4634	
10700	1,48679	
10708,1	1,48688	
10800,1	1,51023	
10900,1	1,53287	
10900,1	1,53294	
11000,1	1,55503	
11000,4	1,55527	
11100,2	1,5766	
11200,2	1,59731	
11200,1	1,59739	
11300	1,61725	
11400	1,63623	
11400	1,63622	
11500	1,65431	
11500	1,65434	
11600,1	1,67127	
11700,1	1,687	
11700,1	1,68693	
11800,1	1,70146	
11800,1	1,70153	
11900,1	1,71473	
12000,1	1,72662	
12000,2	1,72649	
12100	1,73704	
12100	1,73698	
12200	1,74613	
12300,1	1,75367	
12300	1,75361	
12400,1	1,75984	
12400,1	1,75974	
12500,2	1,76435	
12600,1	1,76763	
12600,1	1,76754	
12700,1	1,76924	
12700,1	1,76932	
12800	1,76956	
12900	1,76846	
12900	1,76844	
13000,1	1,76599	
13000	1,76609	
13100,1	1,76231	
13200,1	1,75725	
13200,1	1,75729	
13300,1	1,75106	
13300,1	1,75109	
13400,1	1,74373	
13500,1	1,73543	
13500,2	1,73548	
13600	1,72614	
13600	1,7263	
13700	1,71596	
13800	1,705	
13800	1,70511	
13900,1	1,69334	
13900,1	1,69342	
14000,1	1,68094	
14100,1	1,66794	
14100,1	1,66811	
14200,1	1,65442	
14200,1	1,6548	
14300,1	1,64052	
14400	1,62611	
14400	1,62645	
14500	1,6115	
14500	1,61172	
14600,1	1,5965	
14700,1	1,58116	
14700,1	1,58154	
