Time - Plot 0	Amplitude - Plot 0	
2300,01	2,42564	
2400,04	2,42537	
2400,02	2,42538	
2500,06	2,4257	
2600,08	2,42521	
2600,08	2,42529	
2700,11	2,42507	
2700,1	2,42496	
2799,95	2,42472	
2899,97	2,42472	
2899,97	2,42462	
2999,99	2,42453	
3000,01	2,42457	
3100,02	2,42429	
3200,05	2,42391	
3200,05	2,42384	
3300,07	2,42366	
3300,06	2,42366	
3400,1	2,42353	
3499,92	2,42336	
3499,92	2,42309	
3599,95	2,42305	
3599,95	2,42306	
3699,98	2,42276	
3800	2,42287	
3800	2,4226	
3900,03	2,4224	
3900,03	2,42259	
4000,05	2,4223	
4100,08	2,42183	
4100,07	2,42189	
4200,11	2,42168	
4200,11	2,42167	
4299,94	2,42117	
4399,97	2,42093	
4399,96	2,42094	
4499,99	2,42071	
4500	2,42068	
4600	2,42029	
4600,02	2,42027	
4700,04	2,41995	
4800,07	2,41974	
4800,06	2,41991	
4900,09	2,41945	
4900,08	2,4195	
5000,12	2,41911	
5099,91	2,41887	
5099,95	2,41879	
5199,99	2,41832	
5199,98	2,41829	
5300	2,41797	
5300	2,41789	
5400,01	2,41748	
5500,05	2,41702	
5500,05	2,41724	
5600,07	2,41679	
5600,06	2,41669	
5700,1	2,41633	
5800,13	2,41587	
5800,12	2,41579	
5899,96	2,4154	
5899,96	2,41549	
5999,97	2,41496	
6100,01	2,41421	
6100,02	2,41422	
6200,03	2,4141	
6200,04	2,41384	
6300,06	2,41333	
6400,08	2,41269	
6400,09	2,41264	
6500,11	2,41218	
6500,11	2,41217	
6599,94	2,41144	
6699,98	2,41092	
6699,97	2,41095	
6799,99	2,41015	
6800	2,41008	
6900,03	2,40935	
7000,04	2,40877	
7000,04	2,40863	
7100,07	2,40802	
7100,07	2,40795	
7200,09	2,40718	
7300,13	2,40619	
7300,12	2,4062	
7399,97	2,40525	
7399,97	2,40524	
7499,98	2,40441	
7600	2,40343	
7600	2,40335	
7700,04	2,4025	
7700,03	2,40244	
7800,04	2,40126	
7900,08	2,40035	
7900,08	2,40016	
8000,11	2,39891	
8000,1	2,39885	
8100,13	2,39765	
8199,98	2,39644	
8199,97	2,39646	
8300	2,39498	
8299,99	2,39501	
8400,03	2,39331	
8500,04	2,39196	
8500,04	2,39188	
8600,06	2,39016	
8600,07	2,39014	
8700,1	2,38848	
8800,11	2,3864	
8800,12	2,38636	
8900,14	2,38435	
8900,14	2,38434	
8999,98	2,38222	
9100,01	2,37999	
9100,01	2,37992	
9200,01	2,37734	
9200,02	2,37734	
9300,05	2,37462	
9400,07	2,37168	
9400,07	2,37164	
9500,11	2,36847	
9591,91	2,3557	
9600,13	2,36528	
9699,96	2,36134	
9699,97	2,3617	
9799,98	2,35763	
9900,02	2,35338	
9900,02	2,3533	
10000	2,34839	
10000,1	2,34845	
10100,1	2,34355	
10200,1	2,33812	
10200,1	2,33804	
10300,1	2,33189	
10300,1	2,33196	
10400,1	2,32531	
10500	2,31818	
10500	2,31796	
10600	2,31012	
10600	2,31007	
10700	2,30121	
10800	2,29167	
10800,1	2,29157	
10900,1	2,28093	
10900,1	2,28077	
11000,1	2,2693	
11100,1	2,2564	
11100,1	2,25657	
11200,1	2,24231	
11200,2	2,24232	
11300	2,22675	
11400	2,20996	
11400	2,20976	
11500	2,19177	
11500	2,1914	
11600,1	2,17179	
11700,1	2,15068	
11700,1	2,1503	
11800,1	2,128	
11800,1	2,12793	
11900,1	2,10502	
12000,1	2,08182	
12000,2	2,08151	
12100	2,05893	
12100	2,05908	
12200	2,03807	
12300	2,02024	
12300,1	2,0199	
12400,1	2,0058	
12400,1	2,00578	
12500,1	1,9964	
12600,1	1,9928	
12600,1	1,9928	
12700,2	1,99514	
12700,1	1,99509	
12800	2,00273	
12900	2,01549	
12900	2,01565	
13000	2,03244	
13000	2,03239	
13100,1	2,05236	
13200,1	2,07419	
13200,1	2,07414	
13300,1	2,09718	
13300,1	2,09696	
13400,1	2,11997	
13500,2	2,14254	
13500,2	2,14218	
13600	2,16417	
13600	2,16404	
13700	2,18455	
13800	2,20373	
13800	2,2036	
13900,1	2,22148	
13900,1	2,22131	
14000,1	2,23779	
14100,1	2,25305	
14100,1	2,25276	
14200,1	2,26684	
14200,1	2,26675	
14300,2	2,27916	
14400	2,29062	
14400	2,29057	
14500	2,30089	
14500	2,30071	
14600	2,31015	
14700,1	2,31877	
14700,1	2,3187	
14800,1	2,32644	
14900,1	2,33366	
14900,1	2,33369	
15000,2	2,34035	
15000,1	2,34011	
15100,2	2,34601	
15200	2,35155	
15200	2,35155	
15300	2,35642	
15300	2,35636	
15400,1	2,36094	
15500,1	2,36501	
15500,1	2,36499	
15600,1	2,36891	
15600,1	2,36905	
15700,1	2,37242	
15800,2	2,37571	
15800,2	2,3758	
15900	2,37853	
15900	2,37866	
16000	2,38152	
16100	2,3841	
16100	2,38388	
16200,1	2,38623	
16200,1	2,38635	
16300,1	2,38843	
16400,1	2,39072	
16400,1	2,39059	
16500,1	2,39269	
16500,1	2,39252	
16600,2	2,39428	
16700	2,396	
16700	2,39597	
16800	2,39753	
16800	2,39756	
16900	2,39922	
17000,1	2,40048	
17000,1	2,40053	
17100,1	2,40169	
17100,1	2,40173	
17200,1	2,40285	
17300,2	2,40404	
17300,2	2,40398	
17400,2	2,40493	
17400,2	2,40497	
17500	2,40615	
17600	2,40702	
17600	2,40702	
17700,1	2,40792	
17700,1	2,40789	
17800,1	2,40859	
17900,1	2,40942	
17900,1	2,40945	
18000,1	2,41008	
18000,1	2,41001	
18100,2	2,41074	
18200,2	2,41144	
18200,2	2,41125	
18300	2,41197	
18300	2,41196	
18400	2,41259	
18500,1	2,41312	
18500,1	2,41331	
18600,1	2,41368	
18600,1	2,41394	
18700,1	2,41417	
18800,1	2,41477	
18800,2	2,41488	
18900,2	2,41521	
18900,2	2,41536	
