Time - Plot 0	Amplitude - Plot 0	
2300	2,23595	
2300	2,23592	
2400,03	2,23551	
2500,06	2,2351	
2500,06	2,23489	
2600,08	2,23459	
2600,08	2,23446	
2700,11	2,23408	
2799,95	2,23346	
2799,94	2,2336	
2899,97	2,23303	
2899,97	2,23302	
2999,99	2,23268	
3100,02	2,2319	
3100,01	2,23193	
3200,05	2,23107	
3200,03	2,23117	
3300,07	2,23065	
3400,08	2,22994	
3400,09	2,23017	
3499,92	2,22958	
3499,93	2,2296	
3599,95	2,22887	
3699,98	2,22818	
3699,97	2,22819	
3800,01	2,22737	
3800,01	2,22753	
3900,02	2,2267	
4000,05	2,22583	
4000,05	2,22571	
4100,08	2,22504	
4100,07	2,22505	
4200,11	2,2243	
4299,94	2,22331	
4299,94	2,22341	
4399,97	2,22245	
4399,96	2,22235	
4499,99	2,2215	
4600,01	2,22043	
4600,01	2,22046	
4700,03	2,21946	
4700,03	2,21969	
4800,05	2,21849	
4800,06	2,21845	
4900,09	2,21745	
5000,12	2,21639	
5000,12	2,21631	
5099,95	2,21515	
5099,95	2,21507	
5199,98	2,21405	
5300	2,21248	
5300	2,21247	
5400,03	2,21117	
5400,03	2,21132	
5500,05	2,2097	
5600,07	2,20824	
5600,07	2,20839	
5700,1	2,20686	
5700,1	2,20685	
5800,12	2,20536	
5800,13	2,2053	
5899,97	2,20354	
5999,98	2,20198	
5999,98	2,20208	
6100,01	2,20008	
6100	2,20039	
6200,03	2,19861	
6300,05	2,19668	
6300,06	2,1965	
6400,09	2,19448	
6400,09	2,19468	
6500,1	2,1925	
6599,96	2,19016	
6599,94	2,19001	
6699,97	2,18786	
6699,98	2,18796	
6800	2,18559	
6900,02	2,18309	
6900,02	2,18305	
7000,05	2,18032	
7000,05	2,18023	
7100,07	2,17743	
7123,76	2,1651	
7200,1	2,17464	
7300,11	2,1716	
7300,12	2,17152	
7399,96	2,16841	
7499,98	2,16517	
7499,97	2,16509	
7600	2,16154	
7600,01	2,16149	
7700,02	2,15796	
7800,06	2,15377	
7800,06	2,15383	
7900,08	2,14992	
7900,08	2,14981	
8000,11	2,14519	
8100,13	2,14082	
8100,12	2,14059	
8199,96	2,13585	
8199,96	2,13572	
8299,99	2,13055	
8300	2,13067	
8400,01	2,12533	
8500,04	2,11921	
8500,04	2,11915	
8600,07	2,11321	
8600,07	2,11299	
8700,09	2,1065	
8800,11	2,09951	
8800,12	2,09948	
8900,14	2,09207	
8900,14	2,09196	
8999,98	2,08414	
9099,99	2,07566	
9099,99	2,07556	
9200,03	2,06669	
9200,03	2,06674	
9300,05	2,05676	
9400,09	2,04684	
9400,08	2,04664	
9500,1	2,03564	
9500,1	2,03559	
9600,12	2,02396	
9699,96	2,01149	
9699,97	2,01138	
9799,98	1,99776	
9799,99	1,99748	
9900,01	1,98322	
10000	1,96751	
10000	1,96722	
10100,1	1,95069	
10100,1	1,95036	
10200,1	1,93241	
10300,1	1,91294	
10300,1	1,91266	
10400,1	1,892	
10400,1	1,89144	
10500	1,86913	
10500	1,86879	
10600	1,84444	
10700	1,81877	
10700	1,81831	
10800	1,79055	
10800	1,79003	
10900,1	1,76072	
11000,1	1,72899	
11000,1	1,72834	
11100,1	1,69507	
11100,1	1,6945	
11200,1	1,65926	
11300	1,62201	
11300	1,62123	
11400	1,58291	
11400	1,58231	
11500	1,54273	
11600	1,5023	
11600,1	1,50157	
11700,1	1,46167	
11700,1	1,4611	
11800,1	1,422	
11900,1	1,38464	
11900,1	1,38416	
12000,1	1,35008	
12000,2	1,34985	
12100	1,32003	
12200	1,29564	
12200	1,29542	
12300	1,27787	
12300,1	1,27766	
12400,1	1,26745	
12500,2	1,26506	
12500,1	1,26483	
12600,1	1,27055	
12600,1	1,27056	
12700,1	1,28383	
12700,1	1,2838	
12800	1,30398	
12900	1,32994	
12900	1,32975	
13000	1,36082	
13003,5	1,35972	
13100,1	1,39503	
13200,1	1,4323	
13200,1	1,43175	
13300,1	1,47067	
13300,5	1,47026	
13400,1	1,50934	
13500,2	1,54872	
13500,2	1,54813	
13600	1,58714	
13700	1,62475	
13700	1,62374	
13800	1,66029	
13800	1,65968	
13900,1	1,69461	
13900,1	1,69386	
14000,1	1,72676	
14100,1	1,75847	
14100,1	1,75774	
14200,1	1,78743	
14200,1	1,78701	
14300,2	1,81533	
14400	1,84103	
14400	1,84046	
14500	1,86523	
14500	1,8648	
14600	1,8879	
14700,1	1,90952	
14700,1	1,90902	
14800,1	1,92939	
14800,1	1,92892	
14900,1	1,94779	
15000,1	1,96539	
15000,2	1,96497	
15100,2	1,98142	
15100,2	1,98125	
15200	1,99663	
15300	2,01079	
15300	2,01066	
15400,1	2,02394	
15400,1	2,02374	
15500,1	2,03635	
15600,1	2,048	
15600,1	2,04785	
15700,1	2,05865	
15700,1	2,05881	
15800,2	2,0692	
15900	2,0787	
15900	2,07837	
16000	2,08758	
16000	2,08761	
16100	2,09605	
16200,1	2,10406	
16200,1	2,10387	
16300,1	2,11148	
16300,1	2,11143	
16400,1	2,11827	
16400,1	2,11844	
16500,2	2,12496	
16600,2	2,13126	
16600,2	2,13131	
16700	2,13715	
16700	2,137	
16800	2,14263	
16900,1	2,14797	
16900,1	2,14783	
17000,1	2,15278	
17000,1	2,15281	
17100,1	2,1576	
17100,1	2,15738	
17200,1	2,16187	
17300,1	2,16621	
17300,2	2,16623	
17400,2	2,17013	
17400,2	2,17004	
17500	2,17393	
17600	2,17743	
17600	2,17739	
17700,1	2,18085	
17700,1	2,18071	
17800,1	2,18409	
17800,1	2,18414	
17900,1	2,18706	
18000,1	2,19	
18000,1	2,19012	
18100,2	2,19288	
18100,2	2,193	
18200,2	2,19561	
18300	2,19793	
18300	2,19795	
18400,1	2,20049	
18400,1	2,20043	
18500,1	2,20279	
18500,1	2,20274	
18600,1	2,20499	
18700,1	2,20709	
18700,1	2,20696	
18800,2	2,20925	
18800,1	2,20897	
18900,2	2,21088	
18900,2	2,21098	
19000	2,21286	
19100	2,21461	
19100	2,21463	
19200,1	2,2164	
19200,1	2,2164	
19300,1	2,21809	
19400,1	2,2195	
19400,1	2,21948	
19500,1	2,22106	
19500,1	2,22104	
19600,2	2,22259	
19600,2	2,22239	
19700,2	2,22388	
19800	2,2251	
19800	2,22508	
19900	2,22643	
19900,1	2,22629	
20000,1	2,22748	
20100,1	2,22878	
20100,1	2,22866	
20200,1	2,22965	
20200,1	2,22993	
20300,1	2,2308	
20300,1	2,23101	
20400,2	2,23197	
20500,2	2,23312	
20500,2	2,23302	
20600	2,23393	
20600	2,23391	
20700,1	2,23488	
20700,1	2,23484	
20800,1	2,23574	
20900,1	2,23662	
20900,1	2,23673	
21000,1	2,23744	
21000,1	2,23738	
21100,2	2,23828	
21200,2	2,23912	
21200,2	2,23901	
21300,2	2,23986	
21300,2	2,23989	
21400,1	2,24059	
21400	2,24054	
21500,1	2,2413	
21600,1	2,24204	
21600,1	2,24201	
21700,1	2,24243	
21700,1	2,24273	
21800,1	2,24328	
21900,2	2,24398	
21900,2	2,24382	
22000,2	2,2446	
22000,2	2,24456	
22100	2,24526	
22100	2,24526	
22200	2,24573	
22300,1	2,24624	
22300,1	2,24623	
22400,1	2,24667	
22400,1	2,24669	
22500,1	2,2474	
22500,1	2,24718	
22600,1	2,24779	
22700,2	2,24837	
22700,2	2,24824	
22800,2	2,2488	
22800,2	2,24868	
