Time - Plot 0	Amplitude - Plot 0	
2300,01	0,12524	
2400,02	0,128726	
2500,06	0,132407	
2500,06	0,132424	
2600,08	0,136122	
2600,08	0,136119	
2700,1	0,139938	
2700,69	0,139981	
2799,95	0,143821	
2899,96	0,147785	
2899,97	0,147804	
2999,99	0,151832	
3100,01	0,155972	
3100,01	0,155976	
3200,03	0,16017	
3200,04	0,160187	
3300,07	0,164527	
3399,97	0,16883	
3400,09	0,168869	
3499,93	0,173349	
3499,93	0,17337	
3599,94	0,177912	
3699,98	0,182507	
3699,97	0,182554	
3800	0,187276	
3799,99	0,187261	
3900,04	0,19207	
4000,05	0,196973	
4000,06	0,196965	
4100,08	0,201962	
4100,08	0,201948	
4200,11	0,207011	
4299,94	0,212146	
4299,95	0,212177	
4399,96	0,217428	
4399,96	0,21745	
4499,99	0,222798	
4600,02	0,22829	
4600,01	0,228296	
4700,04	0,23385	
4700,04	0,233894	
4800,06	0,239545	
4870,47	0,241967	
4900,09	0,245353	
5000,11	0,251197	
5000,11	0,251277	
5099,95	0,257286	
5199,97	0,263418	
5199,97	0,263411	
5299,99	0,269671	
5300	0,269678	
5400,03	0,276066	
5500,05	0,282613	
5500,05	0,282612	
5600,07	0,289304	
5600,06	0,289321	
5700,1	0,296122	
5800,13	0,303055	
5800,12	0,303108	
5899,97	0,310186	
5899,96	0,310246	
5999,98	0,317476	
6100,01	0,324959	
6100,01	0,324969	
6200,04	0,332562	
6200,04	0,332642	
6300,06	0,340342	
6400,09	0,348377	
6400,09	0,348454	
6500,11	0,356563	
6500,11	0,356626	
6599,95	0,364957	
6699,97	0,373553	
6699,97	0,373584	
6800	0,382325	
6799,98	0,382421	
6900,02	0,391412	
7000,05	0,40068	
7000,03	0,400704	
7100,08	0,410214	
7100,08	0,410243	
7200,09	0,419999	
7300,12	0,430059	
7300,12	0,430106	
7399,95	0,440355	
7399,97	0,44043	
7499,98	0,450953	
7600	0,461834	
7600	0,461924	
7700,03	0,473121	
7700,03	0,473149	
7800,07	0,484694	
7900,08	0,496507	
7900,08	0,496619	
8000,1	0,508813	
8000,11	0,508923	
8100,12	0,521415	
8199,98	0,534386	
8199,98	0,534539	
8299,99	0,547771	
8299,99	0,547936	
8400,03	0,561644	
