Time - Plot 0	Amplitude - Plot 0	
2400,04	2,42545	
2400,04	2,42555	
2500,05	2,42552	
2508,36	2,42197	
2600,08	2,4253	
2700,1	2,42507	
2700,1	2,42517	
2799,96	2,42481	
2899,96	2,42466	
2899,97	2,42473	
3000,01	2,42458	
2999,99	2,42442	
3100,01	2,42411	
3200,03	2,42394	
3200,03	2,42399	
3300,06	2,42381	
3300,07	2,42396	
3400,08	2,42363	
3499,93	2,42339	
3499,94	2,42319	
3599,96	2,42309	
3599,95	2,423	
3699,98	2,42303	
3800	2,42267	
3800,01	2,42269	
3900,03	2,4225	
3900,03	2,42226	
4000,04	2,42216	
4100,08	2,42194	
4100,07	2,42186	
4200,1	2,42155	
4200,11	2,42161	
4299,94	2,42144	
4399,97	2,42102	
4399,96	2,42103	
4499,99	2,42078	
4499,99	2,42082	
4600,02	2,42051	
4700,04	2,42014	
4700,05	2,42026	
4800,06	2,41979	
4800,07	2,41996	
4900,09	2,41958	
5000,12	2,41905	
5000,11	2,41912	
5099,96	2,41873	
5099,95	2,41883	
5199,98	2,41829	
5300	2,41797	
5300	2,41779	
5400,03	2,41756	
5400,01	2,41769	
5500,05	2,41723	
5600,07	2,41696	
5600,07	2,41697	
5700,09	2,41629	
5700,09	2,41639	
5800,12	2,41584	
5899,96	2,41545	
5899,96	2,41559	
5999,98	2,41517	
5999,97	2,41508	
6100,01	2,41452	
6200,03	2,41391	
6200,04	2,41402	
6300,06	2,41343	
6300,06	2,4134	
6400,08	2,41269	
6500,11	2,41201	
6500,11	2,41225	
6599,94	2,41166	
6599,94	2,41149	
6699,97	2,41087	
6800	2,41019	
6799,99	2,41029	
6900,03	2,40951	
6900,03	2,40948	
7000,04	2,40884	
7100,08	2,40804	
7100,06	2,40815	
7200,09	2,40733	
7200,09	2,4073	
7300,12	2,40646	
7399,96	2,40579	
7399,96	2,40548	
7499,99	2,40453	
7499,98	2,40474	
7600	2,4037	
7700,04	2,40274	
7700,03	2,40276	
7800,06	2,40154	
7800,04	2,40168	
7900,08	2,40032	
8000,1	2,39895	
8000,11	2,39902	
8100,13	2,39779	
8100,13	2,3979	
8199,97	2,39658	
8299,99	2,39519	
8299,98	2,39514	
8400,02	2,39375	
8400,02	2,3937	
8500,04	2,39229	
8600,05	2,39061	
8600,07	2,39045	
8700,09	2,38864	
8700,09	2,38861	
8800,11	2,38656	
8900,14	2,38461	
8900,14	2,38471	
8999,98	2,38241	
8999,99	2,38258	
9100,01	2,38035	
9200,02	2,37771	
9200,03	2,37776	
9300,05	2,37513	
9300,06	2,37501	
9400,08	2,37193	
9500,1	2,36878	
9500,1	2,36883	
9600,13	2,36551	
9600,13	2,3655	
9699,96	2,36187	
9799,99	2,3579	
9799,98	2,3578	
9900,01	2,35353	
9900,02	2,35371	
10000	2,34893	
10100,1	2,34403	
10100,1	2,34385	
10200,1	2,3386	
10292,4	2,32982	
10300,1	2,33249	
10400,1	2,32581	
10400,1	2,32591	
10500	2,31881	
10600	2,3108	
10600	2,31068	
10700	2,3021	
10700	2,30198	
10800	2,29243	
10900,1	2,28197	
10900,1	2,28195	
11000,1	2,27022	
11000,1	2,27017	
11100,1	2,25747	
11200,1	2,24338	
11200,1	2,24347	
11300	2,22785	
11300	2,22777	
11400	2,21102	
11500	2,19258	
11500	2,19252	
11600,1	2,17256	
11600,1	2,1724	
11700,1	2,15157	
11800,1	2,12926	
11800,1	2,1288	
11900,1	2,10592	
11900,1	2,10553	
12000,2	2,08251	
12100	2,05989	
12100	2,05975	
12200	2,03857	
12200	2,03836	
12300	2,02013	
12400,1	2,00554	
12400,1	2,00558	
12500,1	1,99646	
12500,1	1,99575	
12600,1	1,99197	
12700,2	1,99368	
12700,2	1,99395	
12800	2,00133	
12800	2,00141	
12900	2,01404	
13000	2,03099	
13000	2,03074	
13100	2,05072	
13100,1	2,05076	
13200,1	2,07275	
13300,1	2,09548	
13300,1	2,09542	
13400,1	2,11846	
13400,1	2,11823	
13500,2	2,14109	
13600	2,16294	
13600	2,16277	
13700	2,18348	
13700	2,18325	
13800	2,20266	
13900,1	2,22055	
13900,1	2,22042	
14000,1	2,2369	
14000,1	2,23669	
14100,1	2,25223	
14200,1	2,26581	
14200,1	2,26561	
14300,2	2,2785	
14300,2	2,27844	
14400	2,29003	
14500	2,30041	
14500	2,30039	
14600,1	2,31002	
14600	2,30975	
14700,1	2,31866	
14800,1	2,32633	
14800,1	2,32626	
14900,1	2,33338	
14900,1	2,33335	
15000,1	2,33995	
15100,2	2,34578	
15100,2	2,34594	
15200	2,35141	
15200	2,3515	
15300	2,35633	
15400,1	2,3611	
15400,1	2,36092	
15500,1	2,36501	
15500,1	2,36502	
15600,1	2,36888	
15700,1	2,37257	
15700,1	2,37244	
15800,2	2,37556	
15801	2,3747	
15900	2,37863	
16000	2,38135	
16000	2,38153	
16100	2,38411	
16200,1	2,38644	
16200,1	2,38633	
16300,1	2,38855	
16300,1	2,38863	
16400,1	2,39083	
16500,1	2,39264	
16500,1	2,39267	
16600,2	2,39435	
16600,2	2,39425	
16700	2,39618	
16800	2,39758	
16800	2,39751	
16900,1	2,39908	
16900,1	2,39901	
17000,1	2,40025	
17100,1	2,40145	
17100,1	2,40151	
17200,1	2,40284	
17200,1	2,4026	
17300,2	2,40386	
17400,2	2,40478	
17400,2	2,40488	
17500	2,40609	
17500	2,40604	
17600	2,40683	
17700,1	2,40774	
17700,1	2,40781	
17800,1	2,40878	
17800,1	2,40887	
17900,1	2,40954	
18000,1	2,41035	
18000,1	2,41009	
18100,2	2,41088	
18100,2	2,41074	
18200,2	2,41153	
18300	2,41214	
18300	2,41204	
18400,1	2,41262	
18400,1	2,41267	
18500,1	2,41341	
18600,1	2,41417	
18600,1	2,41401	
18700,1	2,41433	
18700,1	2,41441	
18800,1	2,415	
18900,2	2,41545	
18900,2	2,41539	
19000	2,41599	
19000	2,41581	
19100	2,41629	
19200,1	2,41652	
19200,1	2,41658	
19300,1	2,41701	
19300,1	2,41699	
19400,1	2,41724	
19500,1	2,41771	
19500,1	2,41759	
19600,2	2,41807	
19600,2	2,41803	
19700,2	2,41863	
19800	2,41865	
19800	2,41858	
19900,1	2,41882	
19900,1	2,4191	
20000,1	2,41903	
20100,1	2,41941	
20100,1	2,41947	
20200,1	2,41984	
20200,1	2,41996	
20300,1	2,41989	
20400,2	2,42031	
20400,2	2,4203	
20500,2	2,42061	
20500,2	2,42062	
20600	2,42091	
20700,1	2,4209	
20700,1	2,42085	
20800,1	2,42124	
20800,1	2,4211	
20900,1	2,42153	
21000,1	2,42152	
21000,1	2,4216	
21100,2	2,42172	
21100,2	2,42196	
21200,2	2,42197	
21300,2	2,42214	
21300,2	2,42221	
21400	2,42222	
21400	2,42237	
21500,1	2,42245	
21600,1	2,42249	
21600,1	2,42286	
21700,1	2,42261	
21700,1	2,42288	
21800,1	2,42284	
21900,2	2,42299	
21900,2	2,42305	
22000,2	2,42296	
22006	2,41579	
22100	2,42314	
22200,1	2,42323	
22200,1	2,42336	
22300,1	2,42343	
22400,1	2,42357	
22400,1	2,42365	
22500,1	2,42364	
22500,1	2,42377	
22600,2	2,42375	
22700,2	2,42378	
22700,2	2,42392	
22800,2	2,424	
22800,2	2,42383	
22900	2,42385	
23000,1	2,42406	
23000,1	2,42414	
